zip,winred_donations,estimate,moe,per_capita_donations
21675,1,46,29,21.73913043478261
20625,26,1248,404,20.833333333333332
20656,4,203,119,19.704433497536947
20687,7,360,210,19.444444444444446
21607,10,522,231,19.157088122605362
20889,3,158,23,18.9873417721519
20701,15,794,271,18.891687657430733
21005,51,2703,540,18.867924528301884
21664,12,642,229,18.69158878504673
21010,4,216,265,18.51851851851852
21733,22,1202,437,18.302828618968388
20624,18,990,331,18.18181818181818
20712,173,9630,483,17.964693665628243
21853,189,10659,673,17.73149451168027
21672,2,113,86,17.699115044247787
20770,496,28458,673,17.42919389978214
20721,535,30785,2089,17.37859347084619
20755,167,10011,991,16.681650184796723
21217,524,31634,1810,16.56445596510084
20774,841,51010,2662,16.486963340521466
20748,653,40763,2849,16.019429384490838
21206,814,51020,2346,15.954527636221089
20785,651,41281,1821,15.769966812819458
20762,48,3099,395,15.488867376573088
21640,21,1374,338,15.283842794759824
21539,32,2095,289,15.274463007159905
21829,6,394,222,15.228426395939087
21840,8,541,357,14.78743068391867
21239,410,28417,2114,14.427983249463349
21244,549,39501,2300,13.898382319434951
20670,19,1403,419,13.5424091233072
20912,343,25823,1428,13.282732447817837
20781,158,13299,1385,11.880592525753816
20784,379,32191,1811,11.773477058805257
20658,11,978,213,11.247443762781186
21540,1,94,65,10.638297872340425
21231,156,14780,1104,10.554803788903925
20783,527,50387,2635,10.459046976402645
21624,2,201,123,9.950248756218905
21207,511,51765,2665,9.871534820824882
20747,375,39279,1803,9.547086229282824
20737,225,24438,1646,9.206972747360668
21223,189,20728,1461,9.118101119258974
21213,222,28862,1842,7.691774651791283
20710,72,9781,194,7.361210510172784
21920,8,1089,595,7.3461891643709825
21205,80,14684,1763,5.448106782892944
20686,5,963,129,5.192107995846314
21649,11,2205,525,4.988662131519274
20746,140,28078,1728,4.986110121803548
20743,183,38692,2248,4.729659878010958
21647,2,450,187,4.444444444444445
21746,9,2613,675,3.4443168771526977
21216,38,28385,2344,1.3387352474898715
36362,6,5422,394,1.1066027296200662
22312,25,26573,1353,0.940804576073458
21252,4,4456,247,0.8976660682226212
21250,2,2959,570,0.6759040216289286
30328,10,39026,1845,0.2562394301235074
20742,1,4263,645,0.2345765892563922
27549,1,25193,1418,0.0396935656730044
