zip,actblue_donations,estimate,moe,per_capita_donations
22027,2,1974,414,1.0131712259371835
22714,1,1034,353,0.9671179883945842
21659,1,1225,346,0.8163265306122449
22213,3,4150,684,0.7228915662650602
22401,20,28218,41,0.70876745339854
22601,14,29306,385,0.4777178734730089
22043,10,25843,1279,0.3869519792593739
22807,2,5601,152,0.35707909301910373
22303,5,16321,1348,0.30635377734207464
22310,9,29788,1446,0.30213508795488114
22046,5,18007,687,0.27766979507969125
22306,7,32842,2326,0.21314170878752814
22307,2,10202,1026,0.19603999215840032
22842,1,5647,623,0.17708517797060386
22311,3,19531,1427,0.15360196610516613
22801,5,39154,1691,0.12770087347397455
22815,1,8954,571,0.11168192986374804
22124,2,18449,1331,0.10840695972681447
22205,2,18523,1249,0.10797387032338174
22315,3,29358,1744,0.10218679746576742
22551,2,22035,1477,0.09076469253460405
22314,3,35577,1285,0.08432414200185513
22602,2,32032,1317,0.06243756243756244
22304,3,49711,1818,0.06034881615738971
22066,1,16925,991,0.059084194977843424
22207,2,34647,1552,0.05772505556036597
22150,1,27734,1451,0.036056825557077954
22554,2,62257,1899,0.0321249016174888
22407,2,62301,1761,0.03210221344761721
22701,1,35749,1075,0.027972810428263727
22204,1,52359,1590,0.01909891327183483
22192,1,59238,2157,0.016881056078868296
